1,Canada,1,Canada
2,Newfoundland and Labrador,2,Newfoundland and Labrador
4,Prince Edward Island,4,Prince Edward Island
5,Nova Scotia,5,Nova Scotia
7,New Brunswick,7,New Brunswick
10,Quebec,9,Quebec
17,Ontario,16,Ontario
33,Manitoba,28,Manitoba
35,Saskatchewan,30,Saskatchewan
38,Alberta,33,Alberta
41,British Columbia,36,British Columbia
46,Yukon,40,Yukon
47,Northwest Territories,41,Northwest Territories
48,Nunavut,42,Nunavut
3,"St. John's, Newfoundland and Labrador",3,"St. John's, Newfoundland and Labrador"
6,"Halifax, Nova Scotia",6,"Halifax, Nova Scotia"
8,"Moncton, New Brunswick",43,"Moncton, New Brunswick"
9,"Saint John, New Brunswick",8,"Saint John, New Brunswick"
,,19,"Toronto, Ontario"
,,46,"Guelph, Ontario"
,,23,"London, Ontario"
