1,"Total, all violations ",1,"Total, all violations "
4,Total violent Criminal Code violations,4,Total violent Criminal Code violations
82,Total property crime violations ,64,Total property crime violations 
108,Total other Criminal Code violations,225,Total other Criminal Code violations
186,Total Criminal Code traffic violations ,148,Total Criminal Code traffic violations 
212,Total Federal Statute violations ,175,Total Federal Statute violations 
213, Total drug violations,231, Total drug violations
244,Total other Federal Statutes ,205,Total other Federal Statutes 
5,Homicide ,5,Homicide 
6,"Murder, first degree",6,"Murder, first degree"
7,"Murder, second degree",7,"Murder, second degree"
8,Manslaughter,8,Manslaughter
9,Infanticide ,9,Infanticide 
10,Total other violations causing death,10,Total other violations causing death
13, Attempted murder ,13, Attempted murder 
16,"Sexual assault, level 1",16,"Sexual assault, level 1"
30,Total assaults against a peace officer,226,Total assaults against a peace officer
31,Total other assaults,26,Total other assaults
35,"Total firearms, use of, discharge, pointing",30,"Total firearms, use of, discharge, pointing"
39,Total robbery,34,Total robbery
42,Total forcible confinement or kidnapping,227,Total forcible confinement or kidnapping
46,Total abduction ,38,Total abduction 
56, Total commodification of sexual activity violations ,256, Total commodification of sexual activity violations 
64,Total other violent violations,48,Total other violent violations
83,Total breaking and entering ,65,Total breaking and entering 
87,Total possession of stolen property ,68,Total possession of stolen property 
88,Total trafficking in stolen property ,228,Total trafficking in stolen property 
89,Total theft of motor vehicle,69,Total theft of motor vehicle
98,Fraud,80,Fraud
99,Identity theft ,223,Identity theft 
101,Total mischief,81,Total mischief
109, Counterfeiting,85, Counterfeiting
110,Total weapons violations,86,Total weapons violations
122,Child pornography,98,Child pornography
124,Total prostitution,99,Total prostitution
133,Total administration of justice violations,106,Total administration of justice violations
145,Indecent acts ,117,Indecent acts 
150,Advocating genocide,122,Advocating genocide
154,Property or service for terrorist activity ,126,Property or service for terrorist activity 
156,Participate in activity of terrorist group,128,Participate in activity of terrorist group
157,Facilitate terrorist activity,129,Facilitate terrorist activity
171,Invasion of privacy,135,Invasion of privacy
186,Total impaired driving ,149,Total impaired driving 
197,Total other Criminal Code traffic violations,160,Total other Criminal Code traffic violations
204,Total fail to stop or remain ,167,Total fail to stop or remain 
216,"Total, possession, other Controlled Drugs and Substances Act drugs",178,"Total, possession, other Controlled Drugs and Substances Act drugs"
221,"Total cannabis, trafficking, production or distribution ",183,"Total cannabis, trafficking, production or distribution "
225,"Total cocaine, trafficking, production or distribution",187,"Total cocaine, trafficking, production or distribution"
229,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution ",191,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution "
243,Youth Criminal Justice Act ,204,Youth Criminal Justice Act 
252,Total Immigration and Refugee Protection Act,213,Total Immigration and Refugee Protection Act
